subject,sessions,alphas,std_crest_dpfstar
CC00712XX11,221400,0,0.20681480610592445
CC00712XX11,221400,1,0.2058330940650149
CC00712XX11,221400,5,0.20247053566089038
CC00712XX11,221400,10,0.1988222389440296
CC00712XX11,221400,50,0.18116844566247906
CC00712XX11,221400,100,0.16875465164109615
CC00712XX11,221400,150,0.1602451392193178
CC00712XX11,221400,200,0.15454803774797027
CC00712XX11,221400,250,0.15062095956623578
CC00712XX11,221400,300,0.1470402018055928
CC00712XX11,221400,400,0.1414001246512651
CC00712XX11,221400,500,0.1366577728157785
CC00712XX11,221400,600,0.13272477400353647
CC00712XX11,221400,700,0.12959015756332343
CC00712XX11,221400,800,0.126796816773038
CC00712XX11,221400,900,0.12440823901676583
CC00712XX11,221400,1000,0.12216740863081559
CC00712XX11,221400,2000,0.11016829221305446
CC00385XX15,118500,0,0.2378487136238733
CC00385XX15,118500,1,0.23590733644443213
CC00385XX15,118500,5,0.22998829098353993
CC00385XX15,118500,10,0.2236141866820468
CC00385XX15,118500,50,0.19448567637872427
CC00385XX15,118500,100,0.17431572830291245
CC00385XX15,118500,150,0.16245554714062338
CC00385XX15,118500,200,0.154796913501201
CC00385XX15,118500,250,0.14892594422608876
CC00385XX15,118500,300,0.14445904770011886
CC00385XX15,118500,400,0.13701960704173846
CC00385XX15,118500,500,0.13189196692362398
CC00385XX15,118500,600,0.12770995965018017
CC00385XX15,118500,700,0.12421054929476652
CC00385XX15,118500,800,0.12140520289309532
CC00385XX15,118500,900,0.11892971119196272
CC00385XX15,118500,1000,0.11696037992049774
CC00385XX15,118500,2000,0.10672230352583714
CC00063AN06,15102,0,0.26102457431618276
CC00063AN06,15102,1,0.2594896765643541
CC00063AN06,15102,5,0.2543120348508469
CC00063AN06,15102,10,0.24890841945841896
CC00063AN06,15102,50,0.22543101106399996
CC00063AN06,15102,100,0.20902743432825116
CC00063AN06,15102,150,0.19409611582269332
CC00063AN06,15102,200,0.18385522059297135
CC00063AN06,15102,250,0.17616618432878925
CC00063AN06,15102,300,0.1704257145914982
CC00063AN06,15102,400,0.16122809879231415
CC00063AN06,15102,500,0.1546048686266091
CC00063AN06,15102,600,0.14920558276625845
CC00063AN06,15102,700,0.14486134991988833
CC00063AN06,15102,800,0.14131647490388405
CC00063AN06,15102,900,0.13817490416765943
CC00063AN06,15102,1000,0.13544682654041745
CC00063AN06,15102,2000,0.12000328143480932
CC00492AN15,140900,0,0.24916030581824009
CC00492AN15,140900,1,0.24834429627242627
CC00492AN15,140900,5,0.24305314014873558
CC00492AN15,140900,10,0.23729979150455421
CC00492AN15,140900,50,0.2099206261636548
CC00492AN15,140900,100,0.19129060843326348
CC00492AN15,140900,150,0.17942073959811997
CC00492AN15,140900,200,0.17109172924243668
CC00492AN15,140900,250,0.16461801176549548
CC00492AN15,140900,300,0.15877124827964437
CC00492AN15,140900,400,0.15012675524329647
CC00492AN15,140900,500,0.1433269035004981
CC00492AN15,140900,600,0.13797690502656293
CC00492AN15,140900,700,0.13329403230167344
CC00492AN15,140900,800,0.12933942493765144
CC00492AN15,140900,900,0.1259625640399911
CC00492AN15,140900,1000,0.12318570874114834
CC00492AN15,140900,2000,0.10882592236030902
CC00100XX01,35000,0,0.25971760355131135
CC00100XX01,35000,1,0.2573353835664705
CC00100XX01,35000,5,0.24889438976031308
CC00100XX01,35000,10,0.2399628837453863
CC00100XX01,35000,50,0.20043853837997674
CC00100XX01,35000,100,0.1804200650498556
CC00100XX01,35000,150,0.16908540605842307
CC00100XX01,35000,200,0.1606826260439703
CC00100XX01,35000,250,0.1547183977888359
CC00100XX01,35000,300,0.15027704269970973
CC00100XX01,35000,400,0.1430802555474294
CC00100XX01,35000,500,0.13806901255926549
CC00100XX01,35000,600,0.13407162126576444
CC00100XX01,35000,700,0.13057737679640083
CC00100XX01,35000,800,0.1279438116361684
CC00100XX01,35000,900,0.12538221540043393
CC00100XX01,35000,1000,0.1232583451244954
CC00100XX01,35000,2000,0.1112581812561329
CC00777XX19,239102,0,0.28205832546168624
CC00777XX19,239102,1,0.2798171730348663
CC00777XX19,239102,5,0.2717697859075806
CC00777XX19,239102,10,0.26355624574126185
CC00777XX19,239102,50,0.2278795719682785
CC00777XX19,239102,100,0.20662337872554437
